City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,severo-yeniseyskiy,60.3725,93.0408,-19.68,99,98,0.45,RU,1712877586
149,west island,-12.1568,96.8225,26.99,78,40,3.6,CC,1712877589
150,vorkuta,67.5,64.0,-9.38,87,100,12.07,RU,1712877593
151,iqaluit,63.7506,-68.5145,-2.39,68,100,2.24,CA,1712877290
152,santa helena de goias,-17.8136,-50.5969,24.44,73,100,1.17,BR,1712877599
153,ulanhot,46.0833,122.0833,12.89,64,100,4.93,CN,1712877603
154,chernomorskoye,45.5039,32.6997,14.06,71,0,2.9,UA,1712877400
155,college,64.8569,-147.8028,7.26,41,75,5.14,US,1712877330
156,atafu village,-8.5421,-172.5159,29.56,76,42,3.69,TK,1712877490
157,vorgashor,67.5833,63.95,-9.55,87,100,9.85,RU,1712877409
158,sovetskoye,52.2861,85.4131,0.94,95,100,3.73,RU,1712877620
159,hilton head island,32.2163,-80.7526,27.06,79,53,1.34,US,1712877365
160,itoman,26.1247,127.6694,22.27,88,75,3.09,JP,1712877627
161,porto novo,6.4965,2.6036,27.24,78,78,4.67,BJ,1712877630
162,seelow,52.5339,14.3813,13.9,80,86,3.17,DE,1712877633
163,ingeniero jacobacci,-41.3427,-69.5448,5.46,76,99,6.86,AR,1712877637
164,sovetskiy,61.3614,63.5842,1.05,99,100,5.36,RU,1712877640
165,la mojonera,37.2923,-2.4373,11.21,65,1,2.33,ES,1712877643
166,sechura,-5.5569,-80.8222,27.09,60,50,6.47,PE,1712877378
167,alice springs,-23.7,133.8833,19.01,34,4,2.68,AU,1712877581
168,saint-leu,-21.15,55.2833,24.48,83,55,2.62,RE,1712877653
169,aasiaat,68.7098,-52.8699,-6.76,93,99,2.16,GL,1712877430
170,zaozersk,69.4005,32.4476,-1.27,94,99,6.87,RU,1712877488
171,chos malal,-37.3781,-70.2709,13.0,46,8,3.39,AR,1712877387
172,bowling green,36.9903,-86.4436,13.97,76,100,3.6,US,1712877391
173,kolonia,50.9333,6.95,14.9,82,100,0.0,DE,1712877616
174,san carlos,9.6612,-68.5827,33.77,29,3,0.79,VE,1712877673
175,tazovsky,67.4667,78.7,-22.03,94,63,6.73,RU,1712877676
176,high rock,26.6208,-78.2833,26.01,86,100,9.05,BS,1712877679
177,oberwart,47.2897,16.206,11.46,100,91,1.79,AT,1712877683
178,puerto ayora,-0.7393,-90.3518,26.42,97,57,3.58,EC,1712877686
179,uacu cungo,-11.3634,15.1208,18.9,97,100,0.81,AO,1712877689
180,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,38,0,5.0,RU,1712877440
181,karasburg,-28.0167,18.75,18.31,30,0,6.37,NA,1712877680
182,sur,22.5667,59.5289,29.76,45,82,3.87,OM,1712877477
183,langxiang,46.95,128.8833,11.13,75,64,1.93,CN,1712877703
184,road town,18.4167,-64.6167,27.02,74,75,7.72,VG,1712877635
185,papatowai,-46.5619,169.4708,8.12,81,100,2.11,NZ,1712877430
186,hunucma,21.0167,-89.8667,27.27,50,27,4.64,MX,1712877713
187,mehran,33.1222,46.1646,20.82,43,19,2.32,IR,1712877716
188,praia da vitoria,38.7333,-27.0667,16.14,94,75,3.14,PT,1712877719
189,thompson,55.7435,-97.8558,1.4,93,100,3.33,CA,1712877424
190,puerto baquerizo moreno,-0.9,-89.6,26.19,82,59,3.26,EC,1712877493
191,yamada,39.4667,141.95,11.49,77,100,2.57,JP,1712877729
192,maua,-23.6678,-46.4614,22.22,92,90,3.56,BR,1712877720
193,kodiak,57.79,-152.4072,1.73,93,100,3.09,US,1712877405
194,jamestown,42.097,-79.2353,17.77,97,100,4.63,US,1712877531
195,nelson bay,-32.7167,152.15,19.5,81,32,4.02,AU,1712877516
196,arlington,32.7357,-97.1081,23.29,31,0,8.23,US,1712877694
